"Town","FIPS","Year","Age Range","Insurance Status","Measure Type","Variable","Value"
"Ansonia","0900901220","2013-2017","Under 18","With Public Health Insurance","Percent","Health Insurance",48.7
"Ansonia","0900901220","2013-2017","Under 18","With Public Health Insurance","Percent","Margins of Error",13.4
"Ansonia","0900901220","2013-2017","Under 18","Without Health Insurance","Number","Health Insurance",79
"Ansonia","0900901220","2013-2017","Under 18","Without Health Insurance","Number","Margins of Error",56
"Ansonia","0900901220","2013-2017","Under 18","Without Health Insurance","Percent","Health Insurance",1.7
"Ansonia","0900901220","2013-2017","Under 18","Without Health Insurance","Percent","Margins of Error",1.2
"Ansonia","0900901220","2013-2017","18-64","With Private Health Insurance","Number","Health Insurance",7530
"Ansonia","0900901220","2013-2017","18-64","With Private Health Insurance","Number","Margins of Error",598
"Ansonia","0900901220","2013-2017","18-64","With Private Health Insurance","Percent","Health Insurance",65.2
"Ansonia","0900901220","2013-2017","18-64","With Private Health Insurance","Percent","Margins of Error",6.7
"Ansonia","0900901220","2013-2017","18-64","With Public Health Insurance","Number","Health Insurance",3553
"Ansonia","0900901220","2013-2017","18-64","With Public Health Insurance","Number","Margins of Error",484
"Ansonia","0900901220","2013-2017","18-64","With Public Health Insurance","Percent","Health Insurance",30.8
"Ansonia","0900901220","2013-2017","18-64","With Public Health Insurance","Percent","Margins of Error",4.7
"Ansonia","0900901220","2013-2017","18-64","Without Health Insurance","Number","Health Insurance",863
"Ansonia","0900901220","2013-2017","18-64","Without Health Insurance","Number","Margins of Error",257
"Ansonia","0900901220","2013-2017","18-64","Without Health Insurance","Percent","Health Insurance",7.5
"Ansonia","0900901220","2013-2017","18-64","Without Health Insurance","Percent","Margins of Error",2.3
"Ansonia","0900901220","2013-2017","65+","With Private Health Insurance","Number","Health Insurance",1615
"Ansonia","0900901220","2013-2017","65+","With Private Health Insurance","Number","Margins of Error",243
"Ansonia","0900901220","2013-2017","65+","With Private Health Insurance","Percent","Health Insurance",58.1
"Ansonia","0900901220","2013-2017","65+","With Private Health Insurance","Percent","Margins of Error",11
"Ansonia","0900901220","2013-2017","65+","With Public Health Insurance","Number","Health Insurance",2677
"Ansonia","0900901220","2013-2017","65+","With Public Health Insurance","Number","Margins of Error",309
"Ansonia","0900901220","2013-2017","65+","With Public Health Insurance","Percent","Health Insurance",96.2
"Ansonia","0900901220","2013-2017","65+","With Public Health Insurance","Percent","Margins of Error",15.6
"Ansonia","0900901220","2013-2017","65+","Without Health Insurance","Number","Health Insurance",0
"Ansonia","0900901220","2013-2017","65+","Without Health Insurance","Number","Margins of Error",38
"Ansonia","0900901220","2013-2017","65+","Without Health Insurance","Percent","Health Insurance",0
"Ansonia","0900901220","2013-2017","65+","Without Health Insurance","Percent","Margins of Error",1.4
"Ansonia","0900901220","2014-2018","All","With Private Health Insurance","Number","Health Insurance",11449
"Ansonia","0900901220","2014-2018","All","With Private Health Insurance","Number","Margins of Error",793
"Ansonia","0900901220","2014-2018","All","With Private Health Insurance","Percent","Health Insurance",60.8
"Ansonia","0900901220","2014-2018","All","With Private Health Insurance","Percent","Margins of Error",4.2
"Ansonia","0900901220","2014-2018","All","With Public Health Insurance","Number","Health Insurance",8496
"Ansonia","0900901220","2014-2018","All","With Public Health Insurance","Number","Margins of Error",751
"Ansonia","0900901220","2014-2018","All","With Public Health Insurance","Percent","Health Insurance",45.1
"Ansonia","0900901220","2014-2018","All","With Public Health Insurance","Percent","Margins of Error",4
"Ansonia","0900901220","2014-2018","All","Without Health Insurance","Number","Health Insurance",1123
"Ansonia","0900901220","2014-2018","All","Without Health Insurance","Number","Margins of Error",299
"Ansonia","0900901220","2014-2018","All","Without Health Insurance","Percent","Health Insurance",6
"Ansonia","0900901220","2014-2018","All","Without Health Insurance","Percent","Margins of Error",1.6
"Ansonia","0900901220","2014-2018","Under 18","With Private Health Insurance","Number","Health Insurance",2145
"Ansonia","0900901220","2014-2018","Under 18","With Private Health Insurance","Number","Margins of Error",437
"Ansonia","0900901220","2014-2018","Under 18","With Private Health Insurance","Percent","Health Insurance",50.2
"Ansonia","0900901220","2014-2018","Under 18","With Private Health Insurance","Percent","Margins of Error",11.8
"Ansonia","0900901220","2014-2018","Under 18","With Public Health Insurance","Number","Health Insurance",2120
"Ansonia","0900901220","2014-2018","Under 18","With Public Health Insurance","Number","Margins of Error",483
"Ansonia","0900901220","2014-2018","Under 18","With Public Health Insurance","Percent","Health Insurance",49.6
"Ansonia","0900901220","2014-2018","Under 18","With Public Health Insurance","Percent","Margins of Error",12.7
"Ansonia","0900901220","2014-2018","Under 18","Without Health Insurance","Number","Health Insurance",148
"Ansonia","0900901220","2014-2018","Under 18","Without Health Insurance","Number","Margins of Error",81
"Ansonia"
